Key,Item Type,Author,Title,Publication Title,Publication Year,Volume,Issue,Pages,DOI,ISSN,ISBN,Url,Publisher
B7JNGWVU,journalArticle,X. Jiang; C. Lu; H. Luo; Y. Sun,Unsupervised Distributed Anomaly Detection Framework for IoT in Edge AI Network,IEEE Internet of Things Journal,2025,12,12,22058–22072,10.1109/JIOT.2025.3549765,2327-4662,,,
AURB5MQE,journalArticle,"Cai, Haipeng",A Survey of Program Analysis for Distributed Software Systems,ACM Comput. Surv.,2025,57,12,,10.1145/3742900,0360-0300,,https://doi.org/10.1145/3742900,Association for Computing Machinery
AZVPAXXE,journalArticle,"Kang, Xiancai; Hua, Chuangli",Negotiation-augmented federated reinforcement learning for conflict-free edge–cloud stream scheduling,Scientific Reports,2026,16,1,,10.1038/s41598-026-45004-3,2045-2322,,http://dx.doi.org/10.1038/s41598-026-45004-3,Springer Science and Business Media LLC
AXZ8VX5T,journalArticle,"Arciniegas, Stalin; Rivero, Dulce; Piñan, Jefferson; Diaz, Elizabeth; Rivas, Francklin",IoT device for detecting abnormal vibrations in motors using TinyML,Discover Internet of Things,2025,5,1,,10.1007/s43926-025-00142-4,2730-7239,,http://dx.doi.org/10.1007/s43926-025-00142-4,Springer Science and Business Media LLC
AI7KLQEL,conferencePaper,E. Gyamfi; J. A. Ansere; M. Kamal; S. Mir; K. A. Bonsu,Adaptive Federated Blockchain-powered Security for MEC-assisted Industrial IoT Ecosystems,2024 19th International Conference on Emerging Technologies (ICET),2024,,,1–6,10.1109/ICET63392.2024.10935268,,2994-5798,,
AMS9N2SN,journalArticle,"Zhang, J.; Ge, C.; Hu, F.; Chen, B.",RobustFL: Robust Federated Learning Against Poisoning Attacks in Industrial IoT Systems,IEEE Transactions on Industrial Informatics,2022,18,9,6388–6397,10.1109/TII.2021.3132954,,,https://www.scopus.com/pages/publications/85132930432?origin=resultslist,
AIEZHJKC,journalArticle,"Ge, N.; Li, G.; Zhang, L.; Liu, Y.",Failure prediction in production line based on federated learning: an empirical study,Journal of Intelligent Manufacturing,2022,33,8,2277–2294,10.1007/s10845-021-01775-2,,,https://www.scopus.com/pages/publications/85106413261?origin=resultslist,
B6TGH28E,journalArticle,"Sanjalawe, Yousef; Fraihat, Salam; Al-E’mari, Salam; Makhadmeh, Sharif Naser",A review of artificial intelligence-based intrusion detection in industrial internet of things,Discover Internet of Things,2026,6,1,,10.1007/s43926-026-00285-y,2730-7239,,http://dx.doi.org/10.1007/s43926-026-00285-y,Springer Science and Business Media LLC
AILRFYW9,journalArticle,"Shahzad, Khurram; Khan, Shakeel Ahmad; Latif, Mujahid; Javeed, Asfa Muhammed Din; Iqbal, Abid","Big data analytics in healthcare: current practices, innovations, and future prospects",Journal of Big Data,2025,12,1,,10.1186/s40537-025-01288-2,2196-1115,,http://dx.doi.org/10.1186/s40537-025-01288-2,Springer Science and Business Media LLC
BBGDA3NY,journalArticle,"Ejiyi, Chukwuebuka Joseph; Cai, Dongsheng; Thomas, Dara; Obiora, Sandra; Osei-Mensah, Emmanuel; Acen, Caroline; Eze, Francis O.; Sam, Francis; Zhang, Qingxian; Bamisile, Olusola O.",Comprehensive review of artificial intelligence applications in renewable energy systems: current implementations and emerging trends,Journal of Big Data,2025,12,1,,10.1186/s40537-025-01178-7,2196-1115,,http://dx.doi.org/10.1186/s40537-025-01178-7,Springer Science and Business Media LLC
B27CFN9K,journalArticle,"Kayikci, Safak; Khoshgoftaar, Taghi M.",Blockchain meets machine learning: a survey,Journal of Big Data,2024,11,1,,10.1186/s40537-023-00852-y,2196-1115,,http://dx.doi.org/10.1186/s40537-023-00852-y,Springer Science and Business Media LLC
